"Campaign name","Campaign ID","Ad set name","Ad set ID","Ad name","Ad ID",Day,Gender,Age,Text,"Amount spent (USD)",Reach,Impressions,Starts,Ends,"Attribution setting",Frequency,"Result type",Results,"CPC (cost per link click)","CTR (all)","CPM (cost per 1,000 impressions)","Result rate",Views,"Clicks (all)","CPC (all)","Video average play time","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Cost per post engagement",ThruPlays,"Video plays","3-second video plays","Unique 2-second continuous video plays","Link clicks","Cost per ThruPlay","Cost per 3-second video play","Cost per 2-second continuous video play","CTR (link click-through rate)","Unique CTR (link click-through rate)","Outbound CTR (click-through rate)","Instagram profile visits","Cost per app activation","App installs","Cost per app install","App activations conversion value","App activations","Purchase ROAS (return on ad spend)","Ratings submitted","Mobile app installs","In-app sessions conversion value","In-app sessions","In-app purchases","In-app registrations completed","In-app trials started","In-app subscriptions conversion value","Purchases rate per landing page views","Purchases rate per link clicks","Landing page views rate per link clicks","Results rate per link clicks","Unique outbound clicks","Outbound clicks","Unique outbound CTR (click-through rate)","Unique clicks (all)","Cost per unique click (all)","Cost per unique outbound click","Cost per outbound click","Cost per unique link click","Reporting starts","Reporting ends"
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,male,55-64,"Books cost $18+. Most go unfinished.

Get the usable part. Start free",0.19,1,1,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1,onb_initiate_checkout,,,0,190,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2F_STC_QF_BOOK2_T1,120246474118380003,2026-07-12,unknown,65+,"You paid for that book. You read 40 pages. 
It’s been in your nightstand for four months.

Bookster gives you the usable part of every book in 15 minutes.

Key ideas, clear takeaways, no 300-page commitment.

Get the usable part. Skip the rest.",0.03,1,1,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1,onb_initiate_checkout,,,0,30,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2F_STC_QF_BOOK2_T1,120246474118380003,2026-07-12,female,55-64,"You paid for that book. You read 40 pages. 
It’s been in your nightstand for four months.

Bookster gives you the usable part of every book in 15 minutes.

Key ideas, clear takeaways, no 300-page commitment.

Get the usable part. Skip the rest.",0.21,3,3,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1,onb_initiate_checkout,,,0,70,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2F_STC_QF_BOOK2_T1,120246474118380003,2026-07-12,male,65+,"You paid for that book. You read 40 pages. 
It’s been in your nightstand for four months.

Bookster gives you the usable part of every book in 15 minutes.

Key ideas, clear takeaways, no 300-page commitment.

Get the usable part. Skip the rest.",0.42,3,3,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1,onb_initiate_checkout,,,0,140,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2F_STC_QF_BOOK2_T1,120246474118380003,2026-07-12,female,25-34,"You paid for that book. You read 40 pages. 
It’s been in your nightstand for four months.

Bookster gives you the usable part of every book in 15 minutes.

Key ideas, clear takeaways, no 300-page commitment.

Get the usable part. Skip the rest.",0.54,7,7,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1,onb_initiate_checkout,,0.54,14.28571429,77.14285714,,,1,0.54,,,,,,,0.54,,,,,1,,,,14.28571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2F_STC_QF_BOOK2_T1,120246474118380003,2026-07-12,male,55-64,"You paid for that book. You read 40 pages. 
It’s been in your nightstand for four months.

Bookster gives you the usable part of every book in 15 minutes.

Key ideas, clear takeaways, no 300-page commitment.

Get the usable part. Skip the rest.",0.07,3,3,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1,onb_initiate_checkout,,,0,23.33333333,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2F_STC_QF_BOOK2_T1,120246474118380003,2026-07-12,male,18-24,"You paid for that book. You read 40 pages. 
It’s been in your nightstand for four months.

Bookster gives you the usable part of every book in 15 minutes.

Key ideas, clear takeaways, no 300-page commitment.

Get the usable part. Skip the rest.",0.06,3,3,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1,onb_initiate_checkout,,,0,20,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,male,25-34,"Bookster gives you the key ideas in 15 minutes — structured, retained, actually used.
Start free at app.bookster.ai",0.45,5,5,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1,onb_initiate_checkout,,,0,90,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,female,25-34,"Bookster gives you the key ideas in 15 minutes — structured, retained, actually used.
Start free at app.bookster.ai",0.3,4,5,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1.25,onb_initiate_checkout,,,0,60,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2F_STC_QF_BOOK2_T1,120246474118380003,2026-07-12,male,45-54,"You paid for that book. You read 40 pages. 
It’s been in your nightstand for four months.

Bookster gives you the usable part of every book in 15 minutes.

Key ideas, clear takeaways, no 300-page commitment.

Get the usable part. Skip the rest.",0.51,7,7,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1,onb_initiate_checkout,,,0,72.85714286,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,male,18-24,"You paid for that book. You read 40 pages. 
It’s been in your nightstand for four months.

Bookster gives you the usable part of every book in 15 minutes.

Key ideas, clear takeaways, no 300-page commitment.

Get the usable part. Skip the rest.",0.14,5,5,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1,onb_initiate_checkout,,,0,28,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,unknown,35-44,"You paid for that book. You read 40 pages. 
It’s been in your nightstand for four months.

Bookster gives you the usable part of every book in 15 minutes.

Key ideas, clear takeaways, no 300-page commitment.

Get the usable part. Skip the rest.",0.02,1,1,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1,onb_initiate_checkout,,,0,20,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,female,18-24,"You paid for that book. You read 40 pages. 
It’s been in your nightstand for four months.

Bookster gives you the usable part of every book in 15 minutes.

Key ideas, clear takeaways, no 300-page commitment.

Get the usable part. Skip the rest.",0.85,21,22,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1.04761905,onb_initiate_checkout,,,0,38.63636364,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,male,25-34,"You paid for that book. You read 40 pages. 
It’s been in your nightstand for four months.

Bookster gives you the usable part of every book in 15 minutes.

Key ideas, clear takeaways, no 300-page commitment.

Get the usable part. Skip the rest.",1.17,15,19,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1.26666667,onb_initiate_checkout,,,0,61.57894737,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,female,35-44,"You paid for that book. You read 40 pages. 
It’s been in your nightstand for four months.

Bookster gives you the usable part of every book in 15 minutes.

Key ideas, clear takeaways, no 300-page commitment.

Get the usable part. Skip the rest.",8.04,78,90,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1.15384615,onb_initiate_checkout,,8.04,1.11111111,89.33333333,,,1,8.04,,,,,,,8.04,,,,,1,,,,1.11111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,female,25-34,"You paid for that book. You read 40 pages. 
It’s been in your nightstand for four months.

Bookster gives you the usable part of every book in 15 minutes.

Key ideas, clear takeaways, no 300-page commitment.

Get the usable part. Skip the rest.",3.97,62,75,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1.20967742,onb_initiate_checkout,,3.97,4,52.93333333,,,3,1.32333333,,,,,,,3.97,,,,,1,,,,1.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,female,45-54,"You paid for that book. You read 40 pages. 
It’s been in your nightstand for four months.

Bookster gives you the usable part of every book in 15 minutes.

Key ideas, clear takeaways, no 300-page commitment.

Get the usable part. Skip the rest.",6.44,54,63,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1.16666667,onb_initiate_checkout,,6.44,6.34920635,102.22222222,,,4,1.61,,,,,,,6.44,,,,,1,,,,1.58730159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,male,35-44,"You paid for that book. You read 40 pages. 
It’s been in your nightstand for four months.

Bookster gives you the usable part of every book in 15 minutes.

Key ideas, clear takeaways, no 300-page commitment.

Get the usable part. Skip the rest.",1.02,17,20,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1.17647059,onb_initiate_checkout,,1.02,5,51,,,1,1.02,,,,,,,1.02,,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,female,55-64,"You paid for that book. You read 40 pages. 
It’s been in your nightstand for four months.

Bookster gives you the usable part of every book in 15 minutes.

Key ideas, clear takeaways, no 300-page commitment.

Get the usable part. Skip the rest.",2.19,27,30,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1.11111111,onb_initiate_checkout,,,0,73,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
BOOK2_LEAD_JUN26_QUIZ_V3,120246474118350003,ABP_TOF_1865_USA_CONTROL_BOOK2_V3,120246474118390003,C2E_STC_QF_BOOK2_T2,120246474118340003,2026-07-12,female,65+,"You paid for that book. You read 40 pages. 
It’s been in your nightstand for four months.

Bookster gives you the usable part of every book in 15 minutes.

Key ideas, clear takeaways, no 300-page commitment.

Get the usable part. Skip the rest.",1.05,11,13,2026-06-17,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1.18181818,onb_initiate_checkout,,0.525,23.07692308,80.76923077,,,3,0.35,,,,,,,0.525,,,,,2,,,,15.38461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-12,2026-07-12
